Maintenance_ID,Route_ID,Maintenance_Date,Maintenance_Cost,Issue_Type
128,1080,2025-03-18,22748,Brake Repair
129,1076,2025-05-31,17383,Engine Issue
130,1042,2025-01-14,6573,Signal Failure
131,1085,2025-06-24,8917,Engine Issue
132,1059,2025-03-20,21733,Track Maintenance
133,1030,2025-03-09,21760,Signal Failure
134,1058,2025-05-11,25165,Track Maintenance
135,1039,2025-02-25,6487,Engine Issue
136,1090,2025-05-22,29596,Electrical Fault
137,1035,2025-01-13,19015,Brake Repair
138,1080,2025-06-02,6549,Brake Repair
139,1045,2025-03-19,17041,Engine Issue
140,1097,2025-01-28,28330,Track Maintenance
141,1065,2025-02-15,14779,Brake Repair
142,1069,2025-04-12,10696,Signal Failure
143,1050,2025-06-09,6961,Signal Failure
144,1018,2025-03-18,29988,Signal Failure
145,1083,2025-05-16,22829,Engine Issue
146,1003,2025-03-09,13744,Track Maintenance
147,1058,2025-06-02,13916,Electrical Fault
148,1021,2025-05-03,18609,Track Maintenance
149,1009,2025-06-08,9270,Brake Repair
150,1021,2025-03-31,28651,Track Maintenance
