Trip_ID,Route_ID,Date,Capacity,Passenger_Count,Ticket_Revenue,Delay_Minutes
178,1081,2025-04-17,40,30,480,44
179,1024,2025-05-10,80,67,1474,29
180,1087,2025-05-24,150,66,1584,16
181,1074,2025-04-08,50,35,735,44
182,1029,2025-02-25,100,94,2162,8
183,1063,2025-06-06,50,27,810,27
184,1010,2025-04-17,60,40,680,15
185,1056,2025-03-06,150,147,2793,27
186,1021,2025-01-19,60,44,1276,34
187,1079,2025-05-28,100,79,1343,38
188,1052,2025-03-13,100,100,2200,4
189,1058,2025-03-27,80,43,1075,44
190,1023,2025-04-09,50,31,682,36
191,1011,2025-01-07,60,36,1008,24
192,1079,2025-01-28,120,75,2175,32
193,1013,2025-01-20,100,71,1988,38
194,1057,2025-06-16,40,35,700,25
195,1041,2025-04-30,150,90,2700,43
196,1037,2025-04-28,80,47,1363,25
197,1079,2025-03-27,100,75,1125,19
198,1088,2025-01-18,60,31,837,10
199,1069,2025-06-25,40,21,525,35
200,1016,2025-03-12,80,36,540,7
201,1073,2025-01-22,40,28,420,39
202,1062,2025-02-06,100,75,1425,19
203,1001,2025-02-23,150,73,1898,22
204,1050,2025-04-20,100,66,1320,36
205,1072,2025-04-19,50,23,391,0
206,1082,2025-01-10,100,49,1029,38
207,1091,2025-05-09,100,78,2340,31
208,1075,2025-02-19,80,71,1207,17
209,1077,2025-06-12,50,23,552,34
210,1032,2025-02-12,50,29,783,3
211,1056,2025-04-10,40,33,825,29
212,1043,2025-02-17,120,108,3024,45
213,1057,2025-06-12,60,44,1012,8
214,1089,2025-01-06,120,108,2916,44
215,1071,2025-03-07,50,28,448,10
216,1073,2025-04-09,80,45,900,40
217,1028,2025-03-22,60,52,1300,29
218,1054,2025-02-03,40,40,920,24
219,1044,2025-06-09,50,23,483,31
220,1066,2025-01-26,40,35,875,14
221,1048,2025-06-29,100,41,697,14
222,1043,2025-06-13,50,27,729,5
223,1075,2025-02-02,80,50,1000,35
224,1048,2025-02-09,50,26,416,19
225,1012,2025-01-16,40,35,1015,7
226,1037,2025-06-02,50,48,768,18
227,1004,2025-02-20,150,81,1215,6
228,1001,2025-04-01,100,89,2581,10
229,1004,2025-03-03,60,60,1500,14
230,1086,2025-01-23,150,78,1482,25
231,1034,2025-04-20,40,18,450,13
232,1018,2025-04-24,120,68,1428,40
233,1025,2025-05-01,80,69,1104,21
234,1059,2025-04-13,120,80,1680,26
235,1013,2025-06-17,80,72,1872,21
236,1076,2025-06-06,120,119,2142,19
237,1049,2025-03-12,120,86,2064,39
238,1073,2025-03-30,100,72,2088,13
239,1096,2025-04-22,40,30,570,21
240,1004,2025-05-06,50,35,630,21
241,1050,2025-02-01,60,34,510,1
242,1002,2025-04-13,80,75,1875,11
243,1002,2025-01-19,100,77,1309,33
244,1098,2025-04-10,100,94,1598,26
245,1062,2025-04-01,120,112,2576,0
246,1075,2025-03-10,150,65,1560,28
247,1065,2025-01-12,50,28,784,31
248,1030,2025-01-29,40,22,528,38
249,1099,2025-01-10,50,33,858,36
250,1027,2025-06-16,150,118,2714,32
251,1036,2025-02-24,80,42,1134,31
252,1017,2025-02-01,50,47,799,37
253,1002,2025-05-01,100,87,2349,8
254,1094,2025-01-11,80,68,1088,25
255,1075,2025-04-01,60,42,798,38
256,1028,2025-02-13,40,18,504,2
257,1077,2025-03-23,120,67,1273,25
258,1045,2025-05-29,150,124,3100,33
259,1071,2025-06-26,80,54,918,19
260,1067,2025-06-16,100,46,1104,40
261,1090,2025-05-14,100,44,1144,10
262,1015,2025-05-05,80,58,1276,45
263,1074,2025-05-20,50,21,420,19
264,1043,2025-04-30,40,17,289,3
265,1006,2025-04-27,50,29,667,21
266,1022,2025-04-17,150,79,1975,3
267,1029,2025-01-29,40,37,1036,39
268,1023,2025-04-05,50,23,552,35
269,1045,2025-03-11,120,77,1232,0
270,1045,2025-02-11,40,24,552,18
271,1062,2025-02-25,50,35,945,31
272,1092,2025-03-24,120,79,1264,41
273,1072,2025-03-04,60,55,1595,31
274,1069,2025-02-15,120,88,2112,17
275,1085,2025-01-20,80,46,828,13
276,1091,2025-02-13,120,64,1856,45
277,1052,2025-02-20,60,29,609,13
278,1073,2025-03-27,60,36,936,26
279,1012,2025-05-24,100,80,1680,7
280,1086,2025-05-22,60,55,880,3
281,1076,2025-05-23,40,29,522,26
282,1009,2025-01-04,40,18,486,17
283,1065,2025-03-01,50,41,861,19
284,1050,2025-03-28,120,74,1332,44
285,1038,2025-01-04,60,31,899,36
286,1025,2025-06-12,100,72,1224,43
287,1053,2025-01-31,40,36,864,39
288,1016,2025-05-05,60,33,924,17
289,1044,2025-04-26,80,76,1216,43
290,1054,2025-03-23,80,66,1584,7
291,1044,2025-04-23,100,90,2700,26
292,1022,2025-01-09,120,102,1836,40
293,1033,2025-06-09,120,85,1785,31
294,1052,2025-02-28,120,83,1909,8
295,1065,2025-06-02,150,103,1854,28
296,1033,2025-04-05,100,49,735,12
297,1040,2025-04-23,60,38,912,21
298,1056,2025-04-07,100,67,1608,3
299,1095,2025-05-16,80,37,851,40
300,1025,2025-04-20,40,17,476,25
301,1051,2025-02-10,120,68,1632,32
302,1054,2025-02-23,60,43,1118,27
303,1007,2025-01-27,100,98,1862,3
304,1096,2025-05-30,60,25,675,30
305,1076,2025-01-09,120,69,1035,13
306,1087,2025-04-09,40,38,570,22
307,1001,2025-05-12,50,29,754,36
308,1026,2025-06-02,40,28,560,41
309,1021,2025-03-18,60,28,644,36
310,1021,2025-01-28,80,38,988,33
311,1039,2025-03-27,100,78,1950,24
312,1025,2025-03-12,120,78,1248,12
313,1009,2025-04-16,60,58,1160,32
314,1076,2025-01-05,150,76,1748,1
315,1031,2025-02-03,120,118,2596,0
316,1055,2025-01-23,40,38,722,27
317,1084,2025-02-24,150,98,2254,4
318,1030,2025-05-12,100,84,1428,26
319,1039,2025-04-11,150,85,1275,11
320,1025,2025-01-18,100,40,600,4
321,1037,2025-01-04,80,70,1540,22
322,1017,2025-01-23,120,97,1455,19
323,1036,2025-03-26,100,97,1552,12
324,1001,2025-02-10,150,100,1500,39
325,1043,2025-01-18,120,91,1911,11
326,1081,2025-01-23,150,64,1920,2
327,1042,2025-05-25,40,37,666,42
328,1071,2025-01-07,120,99,1683,27
329,1043,2025-05-30,120,48,864,23
330,1066,2025-04-09,60,55,1100,38
331,1048,2025-03-20,50,45,675,6
332,1068,2025-05-27,60,52,936,20
333,1057,2025-06-25,150,77,2079,19
334,1068,2025-04-25,80,45,765,26
335,1074,2025-03-18,60,32,832,21
336,1085,2025-06-21,100,67,1407,45
337,1081,2025-06-24,50,42,1134,14
338,1097,2025-05-14,100,43,1032,35
339,1005,2025-06-05,100,72,1224,40
340,1081,2025-02-01,150,135,3510,22
341,1085,2025-03-05,100,61,1037,11
342,1003,2025-02-13,80,64,1664,20
343,1029,2025-05-13,120,93,2325,38
344,1040,2025-06-23,40,19,494,13
345,1054,2025-01-14,150,87,1305,14
346,1069,2025-06-06,50,48,816,15
347,1038,2025-04-19,150,85,2295,6
348,1054,2025-04-19,150,133,3990,13
349,1049,2025-02-11,50,28,672,29
350,1073,2025-04-23,120,93,1953,19
351,1003,2025-03-05,150,112,2800,41
352,1041,2025-03-23,50,38,798,4
353,1081,2025-03-31,40,21,399,25
354,1054,2025-06-01,60,34,510,3
355,1099,2025-03-18,120,51,1224,40
356,1059,2025-03-05,40,30,750,33
357,1098,2025-01-27,50,37,814,35
358,1082,2025-01-18,50,48,1008,2
359,1051,2025-02-07,100,98,2940,38
360,1082,2025-03-30,150,149,3129,27
361,1081,2025-02-28,150,64,1536,36
362,1001,2025-01-08,60,26,598,20
363,1039,2025-06-12,100,83,2241,38
364,1037,2025-02-24,100,57,1653,1
365,1057,2025-04-12,40,21,504,41
366,1053,2025-03-18,150,65,1625,25
367,1086,2025-02-22,60,50,1200,19
368,1017,2025-06-09,100,99,2079,28
369,1009,2025-04-19,80,72,1152,24
370,1092,2025-05-04,40,39,975,4
371,1030,2025-06-05,150,87,1566,14
372,1062,2025-06-20,60,58,928,2
373,1100,2025-02-09,80,47,1222,22
374,1045,2025-06-19,80,35,595,11
375,1041,2025-02-14,150,134,2546,3
376,1059,2025-03-24,120,52,936,3
377,1069,2025-03-04,60,31,496,14
378,1068,2025-04-03,100,86,2580,38
379,1023,2025-02-24,40,25,625,19
380,1092,2025-02-26,40,20,440,20
381,1077,2025-03-04,50,39,1014,39
382,1021,2025-02-05,120,106,3074,39
383,1047,2025-04-05,120,75,1200,37
384,1022,2025-01-17,60,56,1232,26
385,1015,2025-01-26,50,44,968,4
386,1083,2025-02-13,60,32,736,18
387,1043,2025-01-21,120,104,2912,19
388,1024,2025-04-14,60,38,760,31
389,1054,2025-01-18,150,123,3075,11
390,1006,2025-05-02,150,110,1650,35
391,1065,2025-03-16,60,58,1102,42
392,1099,2025-05-04,150,100,1700,31
393,1012,2025-01-21,60,24,720,26
394,1029,2025-02-03,40,18,432,33
395,1082,2025-03-12,60,28,532,23
396,1041,2025-06-13,120,78,2262,0
397,1019,2025-04-10,50,50,1450,22
398,1081,2025-04-23,120,88,1672,4
399,1054,2025-02-13,50,41,902,1
400,1064,2025-06-19,50,49,1470,44
401,1013,2025-05-16,40,39,1092,10
402,1041,2025-06-12,120,75,1200,14
403,1086,2025-01-12,80,62,1364,18
404,1027,2025-03-26,150,139,2919,6
405,1034,2025-05-23,120,113,2373,10
406,1026,2025-06-16,150,134,2948,40
407,1064,2025-04-01,80,71,1917,28
408,1037,2025-04-03,100,74,1332,19
409,1020,2025-03-30,50,33,957,15
410,1085,2025-06-17,100,89,2047,3
411,1002,2025-01-19,150,118,3186,40
412,1004,2025-03-17,100,69,1449,18
413,1049,2025-05-01,150,104,1768,23
414,1050,2025-04-26,150,71,1846,45
415,1077,2025-05-20,120,52,1352,44
416,1050,2025-04-15,80,50,1100,39
417,1084,2025-06-06,40,17,493,27
418,1016,2025-01-22,120,71,1136,36
419,1081,2025-03-11,40,20,600,16
420,1050,2025-03-10,150,61,1769,9
421,1019,2025-05-30,80,67,1005,31
422,1030,2025-05-12,40,26,546,7
423,1095,2025-03-09,60,52,1248,22
424,1047,2025-01-15,100,85,1445,18
425,1077,2025-04-29,40,20,480,6
426,1005,2025-03-27,40,20,340,20
427,1041,2025-01-24,120,56,1512,4
428,1062,2025-02-14,150,110,2310,32
429,1082,2025-03-05,60,57,1710,8
430,1017,2025-06-22,40,38,1064,41
431,1053,2025-01-27,150,117,2574,43
432,1071,2025-01-03,60,27,405,12
433,1061,2025-01-29,150,102,1836,30
434,1005,2025-03-19,120,96,2400,7
435,1004,2025-03-13,50,44,1188,13
436,1096,2025-02-28,150,126,2268,15
437,1084,2025-04-09,40,17,357,4
438,1062,2025-03-10,50,44,924,29
439,1066,2025-06-09,60,53,1537,39
440,1005,2025-04-29,80,64,1408,18
441,1005,2025-06-28,50,34,544,23
442,1040,2025-04-15,80,48,912,12
443,1032,2025-01-19,120,116,1856,21
444,1037,2025-04-30,60,37,1110,34
445,1016,2025-01-22,60,26,416,37
446,1004,2025-05-09,60,39,819,16
447,1028,2025-02-09,100,55,1540,40
448,1053,2025-05-31,40,34,646,41
449,1031,2025-06-21,120,112,2240,33
450,1085,2025-04-26,120,109,3270,27
451,1091,2025-01-31,120,66,1386,33
452,1083,2025-04-15,100,43,1247,39
453,1096,2025-02-02,100,53,1325,10
454,1089,2025-05-28,100,51,816,32
455,1054,2025-01-10,120,79,1185,30
456,1081,2025-06-21,100,87,2349,34
457,1082,2025-01-05,60,58,1334,17
458,1011,2025-01-03,50,21,588,32
459,1041,2025-06-11,150,92,2668,2
460,1026,2025-06-22,50,33,561,21
461,1095,2025-02-10,50,41,984,35
462,1036,2025-02-25,150,94,2538,4
463,1010,2025-01-09,120,100,2300,29
464,1028,2025-05-24,100,89,2047,27
465,1089,2025-02-12,50,34,748,7
466,1085,2025-06-20,60,51,1122,41
467,1041,2025-04-27,60,29,754,22
468,1049,2025-02-10,120,112,1904,23
469,1077,2025-05-28,80,56,1680,30
470,1051,2025-06-24,50,32,960,11
471,1009,2025-03-27,150,116,3016,31
472,1027,2025-04-28,100,77,1309,29
473,1004,2025-06-09,100,54,1188,10
474,1024,2025-04-02,120,105,2205,32
475,1081,2025-04-03,60,53,901,17
476,1013,2025-02-11,100,65,1040,40
477,1055,2025-04-18,80,79,2133,21
478,1083,2025-03-06,120,94,2726,10
479,1025,2025-03-31,120,59,1357,43
480,1047,2025-03-14,150,150,2550,44
481,1044,2025-04-17,150,110,2750,38
482,1039,2025-02-21,60,49,1421,8
483,1048,2025-04-17,40,31,744,45
484,1001,2025-06-16,150,77,1155,26
485,1044,2025-01-18,120,107,2889,32
486,1062,2025-04-29,60,36,576,31
487,1060,2025-06-14,80,61,1159,14
488,1051,2025-02-07,120,98,2940,30
489,1079,2025-04-21,40,25,400,39
490,1071,2025-03-13,120,70,1540,10
491,1071,2025-03-22,60,43,946,39
492,1047,2025-03-15,120,117,2574,41
493,1054,2025-03-30,50,39,1053,42
494,1099,2025-06-26,120,113,2260,31
495,1098,2025-06-23,50,42,840,44
496,1046,2025-02-26,50,43,903,7
497,1018,2025-03-21,80,42,756,6
498,1086,2025-01-25,50,42,756,4
499,1092,2025-04-12,120,97,2037,41
500,1008,2025-06-19,120,52,1144,32
